image_name,pose_name,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
Boat_Pose_or_Paripurna_Navasana__image_1.jpg,Boat_Pose_or_Paripurna_Navasana_,0.776613175868988,0.5088085532188416,0.7084357142448425,0.4323515295982361,0.5669442415237427,0.561284065246582,0.5333572030067444,0.48375046253204346,0.3709040880203247,0.5643911957740784,0.3576611280441284,0.48984917998313904,0.5882985591888428,0.8234509825706482,0.566320538520813,0.7562158703804016,0.4168534576892853,0.5074816346168518,0.4169267416000366,0.48447713255882263,0.1556146889925003,0.2921879291534424,0.16772380471229553,0.2966267168521881
Boat_Pose_or_Paripurna_Navasana__image_101.jpg,Boat_Pose_or_Paripurna_Navasana_,0.6967858076095581,0.4649631381034851,0.6748383045196533,0.4472149610519409,0.5645092129707336,0.5077051520347595,0.5589798092842102,0.49360591173171997,0.4428184926509857,0.4951934516429901,0.4508189558982849,0.4788852035999298,0.5672404170036316,0.7539218664169312,0.5603863000869751,0.7020487785339355,0.46027785539627075,0.48510506749153137,0.45983147621154785,0.46253326535224915,0.2873901426792145,0.5142361521720886,0.282037615776062,0.5151257514953613
Boat_Pose_or_Paripurna_Navasana__image_102.jpg,Boat_Pose_or_Paripurna_Navasana_,0.7459471821784973,0.5535274744033813,0.719286322593689,0.5217402577400208,0.627516508102417,0.5706373453140259,0.6135998368263245,0.5395675897598267,0.5314604640007019,0.5383104681968689,0.5233160257339478,0.5149297714233398,0.6225732564926147,0.7590605020523071,0.611816942691803,0.717952311038971,0.5148196220397949,0.5562711954116821,0.5163583159446716,0.5372708439826965,0.35981231927871704,0.5696091055870056,0.3605060577392578,0.561063289642334
Boat_Pose_or_Paripurna_Navasana__image_103.jpg,Boat_Pose_or_Paripurna_Navasana_,0.7345225214958191,0.46145570278167725,0.7195374965667725,0.42951709032058716,0.5791051387786865,0.46858301758766174,0.590201199054718,0.4359854757785797,0.43217360973358154,0.4137703776359558,0.4822283983230591,0.3921166658401489,0.5519490838050842,0.75529944896698,0.5668429136276245,0.6907333731651306,0.3997475504875183,0.48661965131759644,0.44679632782936096,0.4535549283027649,0.2563994824886322,0.23208406567573547,0.30276283621788025,0.24731923639774323
Boat_Pose_or_Paripurna_Navasana__image_104.jpg,Boat_Pose_or_Paripurna_Navasana_,0.3546519875526428,0.42805686593055725,0.24671466648578644,0.48041626811027527,0.5322160124778748,0.4525545835494995,0.3895684778690338,0.5538100004196167,0.6865339875221252,0.4169001281261444,0.5110297799110413,0.497341126203537,0.4656310975551605,0.7823619246482849,0.4137442111968994,0.8292118310928345,0.556940495967865,0.4587607979774475,0.5011913180351257,0.4815386235713959,0.7808247804641724,0.48083263635635376,0.7800105810165405,0.5066881775856018
Boat_Pose_or_Paripurna_Navasana__image_105.jpg,Boat_Pose_or_Paripurna_Navasana_,0.25280308723449707,0.5881869196891785,0.2309577465057373,0.6045941114425659,0.36607593297958374,0.45023617148399353,0.33846041560173035,0.47412315011024475,0.45834556221961975,0.2979986071586609,0.45419803261756897,0.30100178718566895,0.5138121247291565,0.6671581268310547,0.506807804107666,0.6934567093849182,0.6608293652534485,0.4641328454017639,0.6635763645172119,0.46374237537384033,0.8361276388168335,0.26550915837287903,0.844436526298523,0.2563851475715637
Boat_Pose_or_Paripurna_Navasana__image_106.jpg,Boat_Pose_or_Paripurna_Navasana_,0.18564261496067047,0.5662882924079895,0.1641787886619568,0.5689710974693298,0.3755822777748108,0.6267648935317993,0.37346529960632324,0.6172270774841309,0.5747349858283997,0.6208676695823669,0.604763925075531,0.6125436425209045,0.411447674036026,0.733669638633728,0.3972516357898712,0.7433170080184937,0.6395640969276428,0.6115639805793762,0.6204092502593994,0.6050710678100586,0.8798508048057556,0.4985242486000061,0.8824281096458435,0.49804145097732544
Boat_Pose_or_Paripurna_Navasana__image_107.jpg,Boat_Pose_or_Paripurna_Navasana_,0.35171693563461304,0.5547705292701721,0.3401878774166107,0.5855023860931396,0.44004228711128235,0.5970460772514343,0.44294482469558716,0.6160243153572083,0.524670422077179,0.5725992918014526,0.5434769988059998,0.581651508808136,0.46101030707359314,0.7742347717285156,0.45344364643096924,0.8090112209320068,0.5421575903892517,0.5630831718444824,0.5428602695465088,0.5664255619049072,0.6985265016555786,0.6451632976531982,0.6997010111808777,0.6523581743240356
Boat_Pose_or_Paripurna_Navasana__image_108.jpg,Boat_Pose_or_Paripurna_Navasana_,0.26094454526901245,0.4952932298183441,0.14643801748752594,0.5137701034545898,0.4752078056335449,0.5501696467399597,0.4093799591064453,0.5579695105552673,0.6803306341171265,0.5349525213241577,0.6645312905311584,0.5326842069625854,0.40472230315208435,0.83427494764328,0.3435386121273041,0.8677387833595276,0.5867530107498169,0.5696532726287842,0.5630155205726624,0.5765469074249268,0.8877748847007751,0.37989187240600586,0.8891094326972961,0.37787866592407227
Boat_Pose_or_Paripurna_Navasana__image_109.jpg,Boat_Pose_or_Paripurna_Navasana_,0.2855384349822998,0.48988768458366394,0.25730979442596436,0.5333295464515686,0.433745414018631,0.531805694103241,0.42969369888305664,0.5625272393226624,0.5961960554122925,0.5016450881958008,0.6004577875137329,0.5479544401168823,0.4394436776638031,0.784739077091217,0.4256944954395294,0.8232876062393188,0.5480259656906128,0.5025547742843628,0.5496081709861755,0.49291011691093445,0.7852665185928345,0.5111313462257385,0.7847591042518616,0.5291311740875244
Boat_Pose_or_Paripurna_Navasana__image_11.jpg,Boat_Pose_or_Paripurna_Navasana_,0.3359282612800598,0.5246603488922119,0.3192684054374695,0.5466618537902832,0.5250931978225708,0.5375977754592896,0.5138887763023376,0.5436245799064636,0.68479984998703,0.5107055306434631,0.6983263492584229,0.5056005716323853,0.5309167504310608,0.7673422694206238,0.5299504399299622,0.7974942922592163,0.6945676207542419,0.540805995464325,0.7028880715370178,0.5422226190567017,0.8725295066833496,0.3119661808013916,0.8755550384521484,0.30657151341438293
Boat_Pose_or_Paripurna_Navasana__image_111.jpg,Boat_Pose_or_Paripurna_Navasana_,0.26573076844215393,0.6557674407958984,0.2781943082809448,0.6516843438148499,0.42042556405067444,0.6700292229652405,0.43399778008461,0.6472593545913696,0.5606971979141235,0.6676869988441467,0.5865034461021423,0.6724932193756104,0.49726754426956177,0.7507324814796448,0.5043448209762573,0.7815372943878174,0.662253201007843,0.5205269455909729,0.6712789535522461,0.5093761682510376,0.8291882276535034,0.27501294016838074,0.8360835909843445,0.26966550946235657
Boat_Pose_or_Paripurna_Navasana__image_113.jpg,Boat_Pose_or_Paripurna_Navasana_,0.28269439935684204,0.4758874177932739,0.22408145666122437,0.5634371638298035,0.4291478395462036,0.4781680107116699,0.4038373827934265,0.5400341749191284,0.5534834861755371,0.4449829161167145,0.5622727870941162,0.4665791392326355,0.4744797646999359,0.7148718237876892,0.45387402176856995,0.7791626453399658,0.552353024482727,0.40862470865249634,0.5328360795974731,0.42205649614334106,0.7872852087020874,0.3734718859195709,0.7965463995933533,0.3855055272579193
